epoch,train_loss,val_loss,train_acc,val_acc
1,0.84,0.57,66.8,83.6
2,0.51,0.53,82.7,84.5
3,0.32,0.55,89.8,84.3
4,0.24,0.54,91.5,85.2
5,0.17,0.56,93.5,84.8
6,0.14,0.57,94.7,83.9
7,0.11,0.55,95.5,85.6
8,0.095,0.54,96.1,86.1
9,0.085,0.53,96.6,85.4
10,0.078,0.56,96.9,86.9
11,0.072,0.57,97.1,86.2
12,0.067,0.54,97.3,87.3
13,0.063,0.53,97.5,86.7
14,0.060,0.55,97.6,87.4
15,0.058,0.56,97.7,87.1
